


Vintage,Name,Producer,Appellation,Varietal,Size,Quantity,Price,Stored,Notes
2010,Ruffino Chianti Classico Riserva Ducale Oro,Ruffino,Chianti Classico,Sangiovese-Merlot-Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4 stars  fire MF/Flanagan dark fragrant supple full-bodied rich 
2014,Ruffino Chianti Classico Riserva Ducale Oro,Ruffino,Chianti Classico,Sangiovese-Merlot-Cabernet Sauvignon,750,2,30.1,,
2014,Ruffino Chianti Classico Riserva Ducale Oro,Ruffino,Chianti Classico,Sangiovese-Merlot-Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4 stars  Linda/Mark/MF pizza/tomatoe pie Tom/Gina/Linda/mark deep complex supple alcoholic pleasant 
2007,Viticcio Chianti Classico,Fattoria Viticcio,Chianti Classico,Sangiovese,750,3,21.99,,
2015,Viticcio Chianti Classico Riserva  Viticcio,Fattoria Viticcio,Chianti Classico,Sangiovese,750,2,22,,
2007,Brancaia Maremma Ilatraia,Casa Brancaia,Maremma,Cabernet Sauvignon-Sangiovese-Petit Verdot,750,,,, Brad & Erica Sklar: 5 stars  nicks dad passed nick/,dr fred/ mf spiker  evolved complex supple full-bodied elegant 
2015,Erastos Rosso Toscano,Erastos,Toscana,Sangiovese-Merlot,750,3,17.99,,96 pts 96 points 
2009,Giovanni Chiappini Guado de' Gemoli Bolgheri Superiore,Azienda Agricola Giovanni Chiappini,Toscana,Cabernet Sauvignon-Merlot,750,1,99.99,,100 points WE 
2012,I Balzini Black Label,I Balzini,Toscana,Cabernet Sauvignon-Sangiovese-Merlot,750,1,19.99,,
2012,I Balzini Black Label,I Balzini,Toscana,Cabernet Sauvignon-Sangiovese-Merlot,750,,,, Brad & Erica Sklar:  grapevine  nick/fanelli/reno/fred couples 
2016,Le Pupillle Morellino di Scansano Riserva,Cantina Vignaioli del Morellino di Scansano,Toscana,,750,1,18.5,,
2023,Petrolo Galatrona,Tenuta di Petrolo,Toscana,Merlot,750,1,100,,Gift from Lynn 99points JS 
2015,Petrolo Galatrona IGT,Tenuta di Petrolo,Toscana,Merlot,750,2,75,,
2001,Petrolo Torrione,Tenuta di Petrolo,Toscana,Sangiovese,750,,,, Brad & Erica Sklar: 4 stars  yale rfa course new haven,ct Garth Garramone dark intense supple tannic rich 
2004,Poggio il Castellare Toscana,Poggio il Castellare,Toscana,Sangiovese,750,1,43.82,,
2008,Sette Ponti Oreno,Tenuta Sette Ponti,Toscana,Sangiovese-Cabernet Sauvignon-Merlot,750,1,52.81,,
2008,Sette Ponti Oreno,Tenuta Sette Ponti,Toscana,Sangiovese-Cabernet Sauvignon-Merlot,750,,,, Brad & Erica Sklar: 4.5 stars  Nick/E Pesto pick up cheese/pesto Pesto dark fragrant supple full-bodied rich 
2008,Sette Ponti Oreno,Tenuta Sette Ponti,Toscana,Sangiovese-Cabernet Sauvignon-Merlot,750,,,, Brad & Erica Sklar: 4.5 stars  Nick/E Pesto pick up cheese/pesto Pesto dark fragrant supple full-bodied rich 
2013,Terra di Monteverro Toscana,Monteverro,Toscana,Cabernet Franc-Merlot-Petit Verdot,750,1,22,,
2013,Ventolaio Brunello,Ventolaio di Fanti Luigi,Toscana,Brunello,750,,,, Brad & Erica Sklar: 3 stars  Nick/MFs Big Ben/Megan Georgio Tom/Gina/Nick evolved discreet medium-bodied 
2008,Santa Margherita Alto Adige Pinot Grigio,Santa Margherita,Alto Adige,Pinot Grigio,750,,,, Brad & Erica Sklar:  Kim M house dinner 
